idx	letter	header	formula	val_r6	val_r12
274	JN	CTP Rate Cov 2 Tbl	=PolicyRates!AH10	0	0
275	JO	CTP Rate Cov 3 Tbl	=PolicyRates!AI10	0	0
276	JP	CTP Rate APB Tbl	=PolicyRates!AJ10	0	0
277	JQ	CTP Premium / CTP Cov 1	=ROUND(CHOOSE(sTarget_SA_Basis,EP12,EU12)*JI12/1000,2) + ROUND($FK12*MIN(6,JM12)*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2)	675	675
278	JR	CTP Cov 2	=ROUND(CHOOSE(sTarget_SA_Basis,EQ12,EV12)*JJ12/1000,2) + ROUND($FK12*MIN(6,JN12)*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2)	0	0
279	JS	CTP Cov 3	=ROUND(CHOOSE(sTarget_SA_Basis,ER12,EW12)*JK12/1000,2) + ROUND($FK12*MIN(6,JO12)*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2)	0	0
280	JT	CTP APB	=ROUND(CHOOSE(sTarget_SA_Basis,ES12,EX12)*JL12/1000,2) + ROUND($FK12*MIN(6,JP12)*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2)	0	0
281	JU	Sig Term CTP / CTP Rate Sig 1	=PolicyRates!AK10	0	0
282	JV	CTP Rate Sig 2	=PolicyRates!AL10	0	0
283	JW	CTP Rate Sig 3	=PolicyRates!AM10	0	0
284	JX	CTP Rate Sig 1 Tbl	=PolicyRates!AN10	0	0
285	JY	CTP Rate Sig 2 Tbl	=PolicyRates!AO10	0	0
286	JZ	CTP Rate Sig 3 Tbl	=PolicyRates!AP10	0	0
287	KA	CTP Sig 1	=IF(GK12,ROUND(GP12*JU12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JX12,2) + ROUND(12*TRUNC(GO12/12,2)*GP12/1000,2),0)	0	0
288	KB	CTP Sig 2	=IF(GS12,ROUND(GX12*JV12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JY12,2) + ROUND(12*TRUNC(GW12/12,2)*GX12/1000,2),0)	0	0
289	KC	CTP Sig 3	=IF(HA12,ROUND(HF12*JW12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JZ12,2) + ROUND(12*TRUNC(HE12/12,2)*HF12/1000,2),0)	0	0
290	KD	Benefits CTP / PWSTP / CTPR	=PolicyRates!AQ10	0	0
291	KE	vPWSTP_CTP	=IF(vPWST_Active,IF(sblnFFL, JC12*JG12,vPWST_Units*KD12*(1+sTableRatingFactor*FK12)),0)	0	0
292	KF	CCV / CTPR	=PolicyRates!AS10	0	0
293	KG	CTP	=KF12*vCurrentSA/1000	0	0
294	KH	CTR / CTPR	=PolicyRates!AT10	0	0
295	KI	vCTR_CTP	=IF(vCTR_Active,vCTR_Units*KH12,0)	0	0
296	KJ	GIR / CTPR	=PolicyRates!EA10	0	0
297	KK	vGIR_CTP	=IF(vGIR_Active,vGIR_Units*KJ12,0)	0	0
298	KL	ADB / CTPR	=PolicyRates!AR10	0	0
299	KM	CTP	=IF(vADB_Active,vADB_Units*KL12,0)	0	0
300	KN	PW39 / CTP w/o PW	NA	NA	NA
301	KO	CTP Rate PW	NA	NA	NA
302	KP	CTP PW	=IV12	0	0
303	KQ	vCTP	=IF(sINPUT_InforceIndicator="Y", IF(vInforceValuationDate,sINPUT_CTP, IF(vPolicyChangeIndicator,SUM(JQ12,JR12,JS12,JT12)+KE12+KG12+KI12+SUM(KA12,KB12,KC12)+KK12+ROUND(KP12,2), KQ11) ), SUM(JQ12,JR12,JS12,JT12)+KE12+KG12+KI12+SUM(KA12,KB12,KC12)+KK12+ROUND(KP12,2))	675	675
304	KR				
305	KS	vGSP	=IF(sINPUT_Guideline="CVAT",0,INT(IF(vInforceValuationDate*1,sINPUT_GSP,IF(vID=1,sGSP_Issue,IF(HJ12,VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,4,0),KS11)))/12*100)*12/100)	12863.52	12863.52
306	KT	vGLP	=IF(sINPUT_Guideline="CVAT",0,INT(IF(vInforceValuationDate*1,sINPUT_GLP,IF(vID=1,sGLP_Issue,IF(HJ12,VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,5,0),KT11)))/12*100)*12/100)	1171.44	1171.44
307	KU	vAccumGLP	=IF(vInforceValuationDate,sINPUT_AccumGLP,IF(vAttainedAge>=100,KU11,IF(I12,KT12+KU11,KU11)))	1171.44	1171.44
308	KV	vTEFRA_Limit	=MAX(KS12,KU12)	12863.52	12863.52
309	KW	=KU126-KW126 / Prem-WD	=AG12-BD12	0	0
310	KX	vForceOut	=IF(INDEX(vExceptionPremMode,vID-1),0,IF(sINPUT_Guideline="CVAT",0,IF(NOT(sINPUT_TEFRA_Force),0,MIN(MAX(0,vAV_AfterChanges*1),MAX(KW12-KV12,0)))))	0	0
311	KY	v7PayPrem	=IF(vInforceValuationDate*1, sINPUT_7PayPremium,IF(vID=1, s7Pay_Issue,IF(AND(HJ12,$HK12<=sMax7702RecalcsAllowed),VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,6,0),CalcEngine!KY11)))	3553.1705496569057	3553.1705496569057
312	KZ	New TAMRA Period	=IF(sCoveredByTAMRA,IF(vDate=sINPUT_Issue_Date,TRUE,vMaterialChangeIndicator),FALSE)	True	False
313	LA	v7PayStartDate	=IF(vMaterialChangeIndicator*1=1,vDate,IF(vInforceValuationDate,sINPUT_7PayStartDate,LA11))	2017-06-09 00:00:00	2017-06-09 00:00:00
314	LB	vTAMRAMonth	=IF(sCoveredByTAMRA, IF(vInforceValuationDate,DATEDIF(LA12,vDate,"m")+1,IF(KZ12,1,LB11+1)), 9999)	1	7
315	LC	vTAMRA_MonthOfYear	=MOD(LB12-1,12)+1	1	7
316	LD	vTAMRA_Year	=INT((LB12-1)/12)+1	1	1
317	LE	Amount In 7-Pay	=IF(LB12=1,0,SUM(XZ11:YF11))	0	0
318	LF	vLowest7YearFace	=IF(vInforceValuationDate, sINPUT_7YrLowestDB,IF(LB12=1,FC12,IF(LD12<=7,IF(FC11<LF11,FC11,LF11),LF11)))	150000	150000
319	LG	vValue_for_NPT	=MIN(vDCV_AfterChanges*1,vAV_AfterChanges*1)	0	-187.29713364798215
320	LH	vNPT_NSP	=INDEX(mNSPs,vPolicyMonth -vChangeMonth+2,HK12+1)	22114.51925365277	22488.083254567075
321	LI	vNPT_Premium	=IF(sINPUT_Guideline="GPT",0,IF(MAX(0,LH12-LG12)/(1-PolicyRates!AW10)<KQ12,MAX(0,LH12-LG12)/(1-PolicyRates!AW10),MAX(0,LH12-LG12+(PolicyRates!AW10-PolicyRates!AX10)*KQ12)/(1-PolicyRates!AX10)))	0	0
322	LJ	GP Display	=KV12	12863.52	12863.52
323	LK				
324	LL	1035, Lumpsum and Scheduled Premium Data / v1035_Amount	=IF(sINPUT_1035_Exchange_EffectiveDate="",IF(vID=1,sINPUT_1035_Exchange_Amount,0),IF(vDate=sINPUT_1035_Exchange_EffectiveDate,sINPUT_1035_Exchange_Amount,0))	0	0
325	LM	vLumpsum	=IF(vDate=sLumpsum_Date,sINPUT_Inforce_Lumpsum,0)	0	0
326	LN	vPlannedPremium	=IF(vAttainedAge>=sPremiumCeaseAge,0,IF(NOT(vLiveCalc),0,INDEX(vINPUT_Premium_Amount,MATCH(D12,vINPUT_Duration,0))))	0	0
327	LO	vPlannedPremiumMode	=IF(ISNA(MATCH(D12,vINPUT_Duration,0)),"A",INDEX(vINPUT_Premium_Mode,MATCH(D12,vINPUT_Duration,0)))	M	M
328	LP	Premium Frequency	=FIND(LO12,"AS0Q0000000M")	12	12
329	LQ	Premium Period	=FIND(LO12,"M0Q00S00000A")	1	1
330	LR	Scheduled Premium Due	=IF(MOD(E12-1,FIND(LO12,"M0Q00S00000A"))=0,1,0)	1	1
331	LS	Scheduled Premium	=LR12*LN12	0	0
332	LT	Payment Count For Policy Year	=IF(vBeginningOfYearCalc*1,INT((12-E12+1)/LQ12),LT11)	12	12
333	LU	Payment Count for TAMRA Year	=IF(vBeginningOfYearCalc*1,INT((12-LC12+1)/LQ12),LU11)	12	12
334	LV		=LR12*LN12+LM12	0	0
335	LW				
336	LX	For interest in advance there is no accrued interest.  The Loan Total is tracked under Rg Ln Princ and Pref LN Princ. / But the Loan Total is not equal to the Loan Payoff. / Rg Ln Princ/Total	=IF(vInforceValuationDate,sINPUT_FixedLn_Principle,Z12+IF(vAnniversary,AA12,0)) +IF(AND(v1035Date,sINPUT_Loan_Type="Fixed"), sINPUT_1035_Exchange_Loan,0)	0	0
337	LY	Rg Ln Int Accrued	=IF(vInforceValuationDate,IF(sLoanType="Advance",0,sINPUT_FixedLn_Accrued),IF(vAnniversary,0,AA12))	0	0
338	LZ	Pf Ln Princ/Total	=IF(vInforceValuationDate,sINPUT_PreflLn_Principle,AB12+IF(vAnniversary,AC12,0))	0	0
339	MA	Pf Ln Int Accrued	=IF(vInforceValuationDate,IF(sLoanType="Advance",0,sINPUT_PreflLn_Accrued),IF(vAnniversary,0,AC12))	0	0
340	MB	Var Ln Princ/Total	=IF(vInforceValuationDate,sINPUT_VblLn_Principle,AD12+IF(vAnniversary,AE12,0))+IF(AND(v1035Date,sINPUT_Loan_Type="Variable"), sINPUT_1035_Exchange_Loan,0)	0	0
341	MC	Var Ln Int Accrued	=IF(vInforceValuationDate,IF(sLoanType="Advance",0,sINPUT_VblLn_Accrued),IF(vAnniversary,0,AE12))	0	0
342	MD	Adv Reg LN Payoff	=ROUND(LX12*(1-X12),2)	0	0
343	ME	Adv Pref LN Payoff	=ROUND(LZ12*(1-Y12),2)	0	0
344	MF	vLoanPayoff	=IF(blnAdvanceLoan,MD12+ME12,SUM(LX12:MC12))	0	0
345	MG	For interest in arrears loan int accrues at the end of the month (see Accumulation section)  but capitalizes here  prior to MD.  This is closer to how Cyberlife calculates, it will capitalize at the beginning of the year, not end of the year. / vPremToPayLoanInterest	=IF(sINPUT_AddInterestToLoan,0,IF(LR12=1,AA12+AC12+AE12,0))	0	0
346	MH	Loan Repayment / From Lumpsum	=IF(sInput_ApplyPremToLoan, MIN(MF12-MG12,vLumpsum*1), 0)	0	0
347	MI	Loan Repayment / From Scheduled Prem	=IF(sInput_ApplyPremToLoan,MIN(MF12-MG12-MH12,LS12),0)	0	0
348	MJ	vLoanRepayFromForceout	=IF(sINPUT_RepayLoanWithForceOut,MIN(vLoanPayOff*1-MH12-MI12-MG12,MAX(0,vForceOut*1)),0)	0	0
349	MK	vLoanRepayFromPremAndForceout	=MI12+MH12+MG12+MJ12	0	0
350	ML	Requested / Loan Mode	=INDEX( vINPUT_Loan_Mode,MATCH(D12,vINPUT_Duration,0))	A	A
351	MM	Loan Mode Effective	=IF(vForecastDate,TRUE,IF(vLiveCalc,MOD(vMonth-1,FIND(ML12,"M0Q00S00000A"))=0,FALSE))	False	False
352	MN	Requested / Loan Repayment	=MM12*INDEX(vINPUT_Loan_Repayment,MATCH(D12,vINPUT_Duration,0))	0	0
353	MO	Total Loan Repayment Attempted	=IF(sINPUT_CeaseLNRepayAtPayoff,MIN(MF12,MK12+MN12),MK12+MN12)	0	0
354	MP	Advanced Loan / Adv Total Loan Repayment calculates future interest repaid (for Advanced Loans only) / Adv Reg LN Repay	=MIN(MD12,MO12-MQ12)	0	0
355	MQ	Adv Pref LN Repay	=MIN(ME12,MO12)	0	0
356	MR	Adv Total Loan Repayment	=ROUND(MP12/(1-sRates_LNCRG*vDaysToNextAnnivesary/365),2)+ROUND(MQ12/(1-sRates_PrefLNCRG*vDaysToNextAnnivesary/365),2)	0	0
357	MS	Loan balance after loan repay / 4 / Rg Ln Princ	=IF(VO11=0, LX12, LX12-MIN(LX12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MS$4,$LX12:$MC12))) )	0	0
358	MT	2 / Rg Ln Int	=IF(VP11=0, LY12, LY12-MIN(LY12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MT$4,$LX12:$MC12))) )	0	0
359	MU	3 / Pf Ln Princ	=IF(VQ11=0, LZ12, LZ12-MIN(LZ12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MU$4,$LX12:$MC12))) )	0	0
360	MV	1 / Pf Ln Int	=IF(VR11=0, MA12, MA12-MIN(MA12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MV$4,$LX12:$MC12))) )	0	0
361	MW	6 / Var Ln Princ	=IF(VS11=0, MB12, MB12-MIN(MB12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MW$4,$LX12:$MC12))) )	0	0
362	MX	5 / Var Ln Int	=IF(VT11=0, MC12, MC12-MIN(MC12,MAX(0,$MO12-SUMIF($MS$4:$MX$4,"<"&MX$4,$LX12:$MC12))) )	0	0
363	MY	vLNRepayLeftOver	=MAX(0,MO12-MF12)	0	0
364	MZ	vTotalLoanReduction	=IF(blnArrearsLoan,MO12,MR12)	0	0
365	NA	vPolicyDebtDisplay	=SUM(MS12:MX12)	0	0
366	NB				
367	NC	Allowances before any premium applied / GP_Allowance0	=IF(sINPUT_Guideline="CVAT",999999999,MAX(0,KV12-KW12+(vForceOut-vLoanRepayFromForceout)))	12863.52	12863.52
368	ND	NPT Allowance0	=IF(sINPUT_Guideline="CVAT",MAX(IF(LD12<=7,999999999,vNPT_Premium*1)),999999999)	999999999	999999999
369	NE	TAMRA_Allowance0	=MAX(IF(LD12<=7, KY12*LD12-LE12+(vForceOut-vLoanRepayFromForceout),999999999),0)	3553.1705496569057	3553.1705496569057
370	NF	Annual Cap0	=MIN(IF(AND(sINPUT_Guideline="GPT",sINPUT_TEFRA_Force),NC12,999999999))	999999999	999999999
371	NG	Allowances after 1035 applied / 1035 amounts are not restricted by TAMRA limits / vApplied1035	=MIN(LL12,NF12)	0	0
372	NH	GP_Allowance1	=NC12-NG12	12863.52	12863.52
373	NI	NPT Allowance 1	=ND12-NG12	999999999	999999999
374	NJ	1035 amounts do not impact TAMRA limits / TAMRA_Allowance1	=NE12	3553.1705496569057	3553.1705496569057
375	NK	Annual Cap1	=MIN(IF(AND(sINPUT_Guideline="GPT",sINPUT_TEFRA_Force),NH12,999999999),IF(sINPUT_TAMRA_Force,IF(AND(sINPUT_InforceIndicator="Y",sINPUT_IsMEC),999999999,MIN(NI12,NJ12)),999999999))	3553.1705496569057	3553.1705496569057
376	NL	Allowances after Lumpsum applied / Lumpsum Remaining	=(vLumpsum -MH12) +vLNRepayLeftOver	0	0
377	NM	vAppliedLumpsum	=MIN(NL12,NK12)	0	0
378	NN	GP_Allowance2	=NH12-$NM12	12863.52	12863.52
379	NO	NPT Allowance 2	=NI12-NM12	999999999	999999999
380	NP	TAMRA_Allowance2	=MAX(NJ12-$NM12,0)	3553.1705496569057	3553.1705496569057
381	NQ	Annual Cap2	=MIN(IF(AND(sINPUT_Guideline="GPT",sINPUT_TEFRA_Force),NN12,999999999),IF(sINPUT_TAMRA_Force,IF(AND(sINPUT_InforceIndicator="Y",sINPUT_IsMEC),999999999,MIN(NO12,NP12)),999999999))	3553.1705496569057	3553.1705496569057
382	NR	Allowances for Scheduled Premium / Consider a Level Premium for the rest of the year (assumes no loan on the policy) / TAMRA_Level_Allowance_BOY	=IF(LU12=0,NP12,NP12/LU12)	296.09754580474214	296.09754580474214
383	NS	TAMRA_Level_Allowance_EOY	=IF(AND(vTAMRA_MonthOfYear<>vMonth,vTAMRA_Year<7),NP12+IF(KZ12,0,v7PayPrem),999999999)/IF(LT12=0,1,LT12)	83333333.25	83333333.25
384	NT	NPT_Level_Allowance	=IF(LU12=0,NO12,(NO12/LU12))	83333333.25	83333333.25
385	NU	GP_Level_Allowance	=NN12/IF(LT12=0,1,LT12)	1071.96	1071.96
386	NV	Scheduled Prem Cap	=IF(vBeginningOfYearCalc,MIN(IF(sINPUT_TAMRA_Force,IF(AND(sINPUT_InforceIndicator="Y",sINPUT_IsMEC),999999999,MIN(NR12,NS12,NT12)),999999999),IF(AND(sINPUT_Guideline="GPT",sINPUT_TEFRA_Force),NU12,999999999)),NV11)	296.09754580474214	296.09754580474214
387	NW	Levelized Max Premium	=MIN(NV12,LS12)	0	0
388	NX	Apply Levelized Premium	=IF(OR(I12, vForecasting*1),IF(AND(SUM(LX12:LY12,MB12:MC12)<=0,sINPUT_LevelizingPremium),TRUE,FALSE),NX11)	False	False
389	NY	Scheduled Premium less Loan Repay	=LS12-MI12	0	0
390	NZ	vAppliedScheduledPremium	=MIN(NQ12,IF(NX12,NW12,NY12),IF(sINPUT_TAMRA_Force,IF(AND(sINPUT_InforceIndicator="Y",sINPUT_IsMEC),999999999,ND12),999999999))	0	0
391	OA	vAppliedTotalPremium	=IF(AND(sblnPrintMode, sAssumption<> "Current"), INDEX(vCurrentAppliedTotalPremium,$B12), IF(vAttainedAge>=sPremiumCeaseAge,0,NZ12+NM12+NG12))	0	0
392	OB	vPremTD	=IF(vInforceValuationDate,INPUT!$B$130,AG12+OA12-KX12)	0	0
393	OC	vPremYTD	=IF(vInforceValuationDate,INPUT!B$129,OA12+IF(I12,0,OC11))	0	0
394	OD	vCostBasis	=IF(vInforceValuationDate,sINPUT_CostBasis,BC12-(vForceOut-vLoanRepayFromForceout)+vAppliedTotalPremium)	0	0
395	OE	Prem Under Target	=MAX(MIN(vCTP-(OC12-OA12),OA12),0)	0	0
396	OF	Prem Over Target	=IF(OC12>vCTP,MIN(OA12,OC12-vCTP),0)	0	0
397	OG	TPP Rate	=PolicyRates!AW10	0.08	0.08
398	OH	EPP Rate	=PolicyRates!AX10	0.04	0.04
399	OI	Under Load	=OE12*OG12	0	0
400	OJ	Over Load	=OF12*OH12	0	0
401	OK	Flat Load	=IF(OA12>0,PolicyRates!AY10,0)	0	0
402	OL	vTotalPremLoad	=OI12+OJ12+OK12	0	0
403	OM	vNetPremium	=OA12-OL12	0	0
404	ON				
405	OO	mAV	=IF(vInforceValuationDate, sPrevAV,vAV_AfterChanges+ vNetPremium-vForceOut)	0	-159.6337540224544
406	OP	NAAR AV	=MAX(OO12,0)	0	0
407	OQ	Standard DB	=vCurrentSA+IF(CT12="A",0,0)+IF(CT12="B",OO12,0)+IF(CT12="C",MAX(0,OB12-BD12),0)	150000	150000
408	OR	CorridorRate	=PolicyRates!AZ10	2.5	2.5
409	OS	vMDBR	=PolicyRates!EG10	1	1
410	OT	=SUM(OT1:OT3) / Grossed DB	=MAX(OQ12,OP12*(IF(sINPUT_Guideline="GPT",OR12,IF(sINPUT_Guideline="CVAT",OS12))))	150000	150000
411	OU	Corr Amount	=OT12-OQ12	0	0
412	OV	Base COI Charge / COI Rate Lookup / 1	=PolicyRates!BA10	0.0525	0.0525
413	OW	2	=PolicyRates!BB10	0	0
414	OX	3	=PolicyRates!BC10	0	0
415	OY	COI Rate with Substandard / 1	=ROUND(IF(OV12=0,0,OV12*(1+sTableRatingFactor*FK12)+ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)), 5)	0.0525	0.0525
416	OZ	2	=IF(OW12=0,0,OW12*(1+sTableRatingFactor*FL12)+ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2))	0	0
417	PA	3	=IF(OX12=0,0,OX12*(1+sTableRatingFactor*FM12)+ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2))	0	0
418	PB	Death Benefit Discount (DBD) / DBD Rate	=PolicyRates!BK10	0.03	0.03
419	PC	1	=(EU12+IF(CT12="B",$OP12,0)+IF(CT12="C",$OB12,0))/(ROUND((1+$PB12)^(1/12),7))	149630.96515064896	149630.96515064896
420	PD	2	=(EV12)/(ROUND((1+$PB12)^(1/12),7))	0	0
421	PE	3	=(EW12)/(ROUND((1+$PB12)^(1/12),7))	0	0
422	PF	Corridor / 4	=(OU12)/(ROUND((1+$PB12)^(1/12),7))	0	0
423	PG	=PC6-OP6 / Net Amount At Risk (FIFO) / 1	=MAX(0,PC12-MIN(PC12,MAX(0,$OP12-SUMIF($PG$5:$PJ$5,"<"&PG$5,$PC12:$PF12))))	149630.96515064896	149630.96515064896
424	PH	2	=MAX(0,PD12-MIN(PD12,MAX(0,$OP12-SUMIF($PG$5:$PJ$5,"<"&PH$5,$PC12:$PF12))))	0	0
425	PI	3	=MAX(0,PE12-MIN(PE12,MAX(0,$OP12-SUMIF($PG$5:$PJ$5,"<"&PI$5,$PC12:$PF12))))	0	0
426	PJ	Corridor / 4	=MAX(0,PF12-MIN(PF12,MAX(0,$OP12-SUMIF($PG$5:$PJ$5,"<"&PJ$5,$PC12:$PF12))))	0	0
427	PK	COI Charge for segments / 1	=OY12*PG12/1000	7.85562567040907	7.85562567040907
428	PL	2	=OZ12*PH12/1000	0	0
429	PM	3	=PA12*PI12/1000	0	0
430	PN	Corridor	=INDEX($OY12:$PA12,vLastActiveSegment)*PJ12/1000	0	0
431	PO	Dynamic COI	=PK12+PL12+PM12+PN12	7.85562567040907	7.85562567040907
432	PP	Base COI Charge (Ratchet Banding - Assuming only 2 bands) / COI Rate Lookup (band 1) / 1	=PolicyRates!BE10	0	0
433	PQ	2	=PolicyRates!BF10	0	0
434	PR	3	=PolicyRates!BG10	0	0
435	PS	COI Rate Lookup (band 2) / 1	=PolicyRates!BH10	0	0
436	PT	2	=PolicyRates!BI10	0	0
437	PU	3	=PolicyRates!BJ10	0	0
438	PV	COI Rate with Substandard (band1) / 1	=PP12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
439	PW	2	=PQ12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
440	PX	3	=PR12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
441	PY	COI Rate with Substandard (band 2) / 1	=PS12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
442	PZ	2	=PT12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
443	QA	3	=PU12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
444	QB	Death Benefit Discount (DBD) / DBD Rate	=PB12	0.03	0.03
445	QC	1	=(EU12+IF(CT12="B",$OP12,0)+IF(CT12="C",$OB12,0))/(ROUND((1+$QB12)^(1/12),7))	149630.96515064896	149630.96515064896
446	QD	2	=(EV12)/((1+$QB12)^(1/12))	0	0
447	QE	3	=(EW12)/((1+$QB12)^(1/12))	0	0
448	QF	Corridor	=(OU12)/((1+$QB12)^(1/12))	0	0
449	QG	Band 2 Amount	=QG11	50000	50000
450	QH	"<" equals FIFO, ">" equals LIFO.  ANICO ULs are FIFO / Total Net Amount At Risk (FIFO) / 1	=MAX(0,QC12-MIN(QC12,MAX(0,$OP12-SUMIF($QH$5:$QJ$5,"<"&QH$5,$QC12:$QE12))))	149630.96515064896	149630.96515064896
451	QI	2	=MAX(0,QD12-MIN(QD12,MAX(0,$OP12-SUMIF($QH$5:$QJ$5,"<"&QI$5,$QC12:$QE12))))	0	0
452	QJ	3	=MAX(0,QE12-MIN(QE12,MAX(0,$OP12-SUMIF($QH$5:$QJ$5,"<"&QJ$5,$QC12:$QE12))))	0	0
453	QK	Corridor	=MAX(QF12-MAX($OP12-(SUM($QC12:$QE12)-SUM($QH12:$QJ12)),0),0)	0	0
454	QL	Net Amount At Risk Band 1 / 1	=MIN(QH12,MAX(0,$QG12-SUMIF($QL$5:$QO$5,"<"&QL$5,$QH12:$QK12)))	50000	50000
455	QM	2	=MIN(QI12,MAX(0,$QG12-SUMIF($QL$5:$QO$5,"<"&QM$5,$QH12:$QK12)))	0	0
456	QN	3	=MIN(QJ12,MAX(0,$QG12-SUMIF($QL$5:$QO$5,"<"&QN$5,$QH12:$QK12)))	0	0
457	QO	Corridor / 4	=MIN(QK12,MAX(0,$QG12-SUMIF($QL$5:$QO$5,"<"&QO$5,$QH12:$QK12)))	0	0
458	QP	Net Amount At Risk Band 2 / 1	=QH12-QL12	99630.96515064896	99630.96515064896
459	QQ	2	=QI12-QM12	0	0
460	QR	3	=QJ12-QN12	0	0
461	QS	Corridor / 4	=QK12-QO12	0	0
462	QT	COI Charge for segments / 1	=PV12*QL12/1000+QP12*PY12/1000	0	0
463	QU	2	=PW12*QM12/1000+QQ12*PZ12/1000	0	0
464	QV	3	=PX12*QN12/1000+QR12*QA12/1000	0	0
465	QW	Corridor	=INDEX(PP12:PR12,vLastActiveSegment)*QO12/1000+INDEX(PS12:PU12,vLastActiveSegment)*OS12/1000	0	0
466	QX	RatchetCOI	=SUM(QT12:QW12)	0	0
467	QY	vTotalNAAR	=IF(_xlfn.XLOOKUP(sPlancode,Rates_Control!C:C,Rates_Control!BE:BE,,0),SUM(QH12,QI12,QJ12),SUM(PG12,PH12,PI12))	149630.96515064896	149630.96515064896
468	QZ	vTotalBaseCOI	=IF(UPPER(TRIM(sRatchetBanding))="TRUE", QX12, PO12)	7.85562567040907	7.85562567040907
469	RA	Rider and Benefit COI Charge (not including PW39) / COI Rate PWST	=PolicyRates!BL10	0	0
470	RB	COI Charge PWST	=IF(vPWST_Active,ROUND( CHOOSE(sPWoT_COI_Basis,vPWST_Units*RA12, vMTP*RA12/100, vCTP*RA12/100)*(1+sTableRatingFactor*$FK12),2),0)	0	0
471	RC	COI Rate ADB	=PolicyRates!BM10	0	0
472	RD	COI Charge ADB	=IF(vADB_Active,ROUND(vADB_Units*RC12,2),0)	0	0
473	RE	CCV Rate	=PolicyRates!EU10	0	0
474	RF	CCV Charge	=ROUND(RE12,3)*vCCV_Units	0	0
475	RG	COI Rate CTR	=PolicyRates!BO10	0	0
476	RH	COI Charge CTR	=IF(vCTR_Active,ROUND(vCTR_Units*RG12,2),0)	0	0
477	RI	COI Rate GIR	=PolicyRates!EW10	0	0
478	RJ	COI Charge GIR	=IF(vGIR_Active,ROUND(vGIR_Units*RI12,2),0)	0	0
479	RK	APB Rate	=PolicyRates!BD10	0	0
480	RL	APB	=RK12*(1+sTableRatingFactor*$FK12)+ ROUND((TRUNC($FN12/12,2)+TRUNC($FO12/12,2)),2)	0	0
481	RM	vAPB_DB	=MAX(0,EX12-OU12)	0	0
482	RN	APB Chrg	=ROUND(RM12*RL12/1000,2)	0	0
483	RO	Rider COI Rate / Term 1	=PolicyRates!EX10	0	0
484	RP	Term 2	=PolicyRates!EY10	0	0
485	RQ	Term 3	=PolicyRates!EZ10	0	0
486	RR	Rider COI Rate w Sub / Term 1	=RO12*(1+sTableRatingFactor*vR1_Table)+GO12	0	0
487	RS	Term 2	=RP12*(1+sTableRatingFactor*vR2_Table)+GW12	0	0
488	RT	Term 3	=RQ12*(1+sTableRatingFactor*vR3_Table)+HE12	0	0
489	RU	Rider COI Charge / Term 1	=RR12*vR1_Face/1000	0	0
490	RV	Term 2	=RS12*vR2_Face/1000	0	0
491	RW	Term 3	=RT12*vR3_Face/1000	0	0
